X Displacement (mm),Force_Up_X (N),Force_Up_Y (N),Force_Up_Z (N),Force_Down_X (N),Force_Down_Y (N),Force_Down_Z (N)
-1.3905,-0.000454993631588888,-0.000684256388939876,-4.49050089115725e-05,-0.00169668171472719,-0.000697644463707028,0.000695055304694788
-1.3895,-0.000458748724665559,-0.000687544185660007,-4.99971347205502e-05,-0.00169333222282542,-0.000691770856131439,0.000692012929529
-1.3885,-0.000462503817742229,-0.000690831982380138,-5.50892605295271e-05,-0.00168998273092366,-0.00068589724855585,0.000688970554363213
-1.3875,-0.000466258910818901,-0.00069411977910027,-6.01813863385049e-05,-0.00168663323902189,-0.00068002364098026,0.000685928179197426
-1.3865,-0.000470014003895572,-0.0006974075758204,-6.52735121474809e-05,-0.00168328374712012,-0.000674150033404671,0.000682885804031639
-1.3855,-0.000473769096972244,-0.000700695372540531,-7.03656379564591e-05,-0.00167993425521836,-0.000668276425829081,0.000679843428865851
-1.3845,-0.000477524190048914,-0.000703983169260662,-7.54577637654356e-05,-0.00167658476331659,-0.000662402818253493,0.000676801053700065
-1.3835,-0.000481279283125586,-0.000707270965980793,-8.05498895744133e-05,-0.00167323527141483,-0.000656529210677903,0.000673758678534277
-1.3825,-0.000485034376202256,-0.000710558762700924,-8.56420153833902e-05,-0.00166988577951306,-0.000650655603102315,0.00067071630336849
-1.3815,-0.000488789469278928,-0.000713846559421055,-9.0734141192368e-05,-0.0016665362876113,-0.000644781995526725,0.000667673928202702
-1.3805,-0.000492544562355598,-0.000717134356141186,-9.58262670013449e-05,-0.00166318679570953,-0.000638908387951136,0.000664631553036916
-1.3795,-0.00049629965543227,-0.000720422152861317,-0.000100918392810323,-0.00165983730380776,-0.000633034780375546,0.000661589177871128
-1.3785,-0.00050005474850894,-0.000723709949581448,-0.0001060105186193,-0.001656487811906,-0.000627161172799957,0.000658546802705341
-1.3775,-0.000503809841585611,-0.000726997746301578,-0.000111102644428276,-0.00165313832000423,-0.000621287565224369,0.000655504427539554
-1.3765,-0.000507564934662283,-0.00073028554302171,-0.000116194770237254,-0.00164978882810247,-0.000615413957648779,0.000652462052373767
